"ID","Dungeon","Room"
"745","gtower","icearmos-321-dboost-1546"
"746","gtower","bk-arrows-738"
"747","gtower","bk-no-arrows-606"
"748","gtower","foyer2-745"
"749","gtower","mj-room-1045-arrow-dash"
"750","gtower","mimics1-joestrat-647"
"751","gtower","mimics1-myramics-653"
"752","gtower","mimics2-blunt-553"
"753","gtower","mimics2-opt-519"
"754","gtower","east-spike-room-302"
"755","gtower","spiketrap-1341"
"756","gtower","spiketrap-abovepot-1406"
"757","gtower","gbz-513"
"758","gtower","gbz-walk-637"
"759","gtower","g1-838"
"760","gtower","g2-441"
"761","gtower","g3-644"
"762","gtower","g4-446"
"763","gtower","g5-459"
"764","gtower","bunnybeamhall-305"
"765","gtower","lanmo2-1141"
"766","gtower","restock-248"
"767","gtower","wizz1-849"
"768","gtower","guardbridge-529"
"769","gtower","wizz2-429"
"770","gtower","foosdabridge-653"
"771","gtower","foosdabridge-rightdash-703"
"772","gtower","torches1-1251-magic-noroddash"
"773","gtower","eyelasers-529"
"774","gtower","torches2-637"
"775","gtower","torches2-safewalk-647"
"776","gtower","helmakey-500-dmg"
"777","gtower","helmakey-507-dmgless"
"778","gtower","bombwall-521"
"779","gtower","bombwall-damageless-530"
"780","gtower","bombwall-rta-543"
"781","gtower","pegschestkey-843"
"782","gtower","pegschestkey-magicskip-454"
"783","gtower","pegschestkey-safe-634"
"784","gtower","mold2-hover-1232"
"785","gtower","mold2-hover-1301"
"786","gtower","mold2-hover-1337"
"787","gtower","mold2-kill-hook-1949"
"788","gtower","mold2-kill-hook-1958"
"789","gtower","helma-hallway-607"
"790","gtower","helma-hallway-safe-620"
"791","gtower","torch-hallway-635"
"792","gtower","agah2-4927"
"793","?","?"
"794","?","?"
"795","?","?"
"796","?","?"
"797","?","?"
"798","ganon","ganon-139.55-nfc"
"799","ganon","ganon-139.55"
"800","?","?"
"801","?","?"
"802","?","?"
"803","?","?"
"804","?","?"
"805","?","?"
"806","?","?"
"807","?","?"
"808","?","?"
"809","?","?"
"810","?","?"
"811","?","?"
"812","?","?"
"813","?","?"
"814","?","?"
"815","?","?"
"816","?","?"
